pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
common	white	chrXIX	6600001	6650000	0.018789627585142	1181	7788	414484	57916
common	white	chrXIX	6650001	6700000	0.0152106823319211	1659	8990	591032	72568
common	white	chrXIX	6700001	6750000	0.0186611550585856	1143	7530	403512	53688
common	white	chrXIX	6750001	6800000	0.0253824756606397	1322	11972	471664	57136
common	white	chrXIX	6800001	6850000	0.0301710927818567	1684	18114	600376	73224
common	white	chrXIX	6850001	6900000	0.0455689399239024	1326	21366	468872	61528
common	white	chrXIX	6900001	6950000	0.0201579024578904	1677	12092	599864	70936
common	white	chrXIX	6950001	7000000	0.0304894820946742	1719	18622	610768	76832
common	white	chrXIX	7000001	7050000	0.0369874818577648	1494	19572	529152	68448
common	white	chrXIX	7050001	7100000	0.0310005993501782	1425	15724	507216	62784
common	white	chrXIX	7100001	7150000	0.0196556040461449	1345	9296	472944	65056
common	white	chrXIX	7150001	7200000	0.0216121084125308	1450	11052	511380	68620
common	white	chrXIX	7200001	7250000	0.0129302917434354	1696	7804	603544	74856
common	white	chrXIX	7250001	7300000	0.0297648109141127	1619	17070	573496	74104
common	white	chrXIX	7300001	7350000	0.0185249713769636	1579	10420	562484	69116
common	white	chrXIX	7350001	7400000	0.0142046559885869	1736	8762	616840	77560
common	white	chrXIX	7400001	7450000	0.0211748470655706	1872	14178	669568	79232
common	white	chrXIX	7450001	7500000	0.0319392579238792	1229	13890	434888	56712
common	white	chrXIX	7500001	7550000	0.0206502128887926	1568	11446	554280	72920
common	white	chrXIX	7550001	7600000	0.0450578956200704	1001	16110	357540	42860
common	white	chrXIX	7600001	7650000	0.0229890098873419	1790	14676	638392	77608
common	white	chrXIX	7650001	7700000	0.0165486464557055	1516	8974	542280	64120
common	white	chrXIX	7700001	7750000	0.0225300257641683	1442	11578	513892	62908
common	white	chrXIX	7750001	7800000	0.0286818396621899	1479	15052	524792	66808
common	white	chrXIX	7800001	7850000	0.0289835112284326	1481	15152	522780	69620
common	white	chrXIX	7850001	7900000	0.0355379979480219	1397	17596	495132	63668
common	white	chrXIX	7900001	7950000	0.0248321901478193	1536	13540	545260	69140
common	white	chrXIX	7950001	8000000	0.0212942410420274	1846	13968	655952	82448
common	white	chrXIX	8000001	8050000	0.0239522371153483	1667	14210	593264	73536
common	white	chrXIX	8050001	8100000	0.0201470807531413	1450	10268	509652	70348
common	white	chrXIX	8100001	8150000	0.0080499335526459	2063	5912	734416	90784
common	white	chrXIX	8150001	8200000	0.0137277620521244	1546	7488	545464	72936
common	white	chrXIX	8200001	8250000	0.0087953498861478	1560	4836	549836	74164
common	white	chrXIX	8250001	8300000	0.0155852398077911	1882	10314	661780	91020
common	white	chrXIX	8300001	8350000	0.0396669744947018	1179	16666	420148	51452
common	white	chrXIX	8350001	8400000	0.0311304663400471	1565	17156	551100	74900
common	white	chrXIX	8400001	8450000	0.0315999298711	1494	16582	524748	72852
common	white	chrXIX	8450001	8500000	0.0257290057382476	1623	14922	579968	69232
common	white	chrXIX	8500001	8550000	0.0270423276940293	1709	16432	607640	75960
common	white	chrXIX	8550001	8600000	0.0195148514851485	1709	11826	606000	77600
common	white	chrXIX	8600001	8650000	0.0196259323405773	1319	9020	459596	68004
common	white	chrXIX	8650001	8700000	0.0225443734965755	1423	11284	500524	68676
common	white	chrXIX	8700001	8750000	0.0219669913991673	1597	12474	567852	70948
common	white	chrXIX	8750001	8800000	0.0185875314387894	1352	8898	478708	62092
common	white	chrXIX	8800001	8850000	0.0164169601308011	1430	8354	508864	63136
common	white	chrXIX	8850001	8900000	0.0111254184908575	1324	5184	465960	63640
common	white	chrXIX	8900001	8950000	0.0212269815077354	1447	10960	516324	62476
common	white	chrXIX	8950001	9000000	0.0178140402831585	1119	7026	394408	53192
common	white	chrXIX	9000001	9050000	0.029770612780248	1553	16524	555044	66156
common	white	chrXIX	9050001	9100000	0.0185249556050931	1503	9806	529340	71860
common	white	chrXIX	9100001	9150000	0.0127114213264319	1717	7780	612048	74752
common	white	chrXIX	9150001	9200000	0.0255544679253379	1676	15246	596608	73792
common	white	chrXIX	9200001	9250000	0.0172806328667046	1564	9594	555188	70412
common	white	chrXIX	9250001	9300000	0.0278377153218495	1228	12282	441200	50000
common	white	chrXIX	9300001	9350000	0.0233641161993843	1421	11810	505476	62924
common	white	chrXIX	9350001	9400000	0.0115613915302502	1349	5554	480392	59208
common	white	chrXIX	9400001	9450000	0.0142870700631905	1421	7226	505772	62628
common	white	chrXIX	9450001	9500000	0.0238886782303507	1278	10836	453604	57596
common	white	chrXIX	9500001	9550000	0.0231905149844579	1424	11728	505724	63876
common	white	chrXIX	9550001	9600000	0.0178955947004815	1514	9574	534992	70608
common	white	chrXIX	9600001	9650000	0.0357016552664038	1315	16556	463732	62268
common	white	chrXIX	9650001	9700000	0.0152843830955418	1457	7906	517260	65540
common	white	chrXIX	9700001	9750000	0.0189802641520839	1486	10048	529392	65008
common	white	chrXIX	9750001	9800000	0.0251509627435342	1573	14128	561728	67472
common	white	chrXIX	9800001	9850000	0.0187573229928025	1601	10758	573536	66864
common	white	chrXIX	9850001	9900000	0.0180428311082157	1365	8752	485068	60932
common	white	chrXIX	9900001	9950000	0.0119245979965069	1677	7128	597756	73044
common	white	chrXIX	9950001	10000000	0.0147522467900524	1638	8516	577268	77932
common	white	chrXIX	10000001	10050000	0.0066380647595623	1629	3800	572456	79144
common	white	chrXIX	10050001	10100000	0.0108608181796343	1858	7234	666064	77136
common	white	chrXIX	10100001	10150000	0.0084814342183074	1458	4360	514064	69136
common	white	chrXIX	10150001	10200000	0.0124384946438387	1676	7422	596696	73704
common	white	chrXIX	10200001	10250000	0.0104612578839382	1802	6608	631664	89136
common	white	chrXIX	10250001	10300000	0.0138005200956256	1512	7366	533748	71052
common	white	chrXIX	10300001	10350000	0.0161469263363319	1692	9664	598504	78296
common	white	chrXIX	10350001	10400000	0.0303217090887615	1532	16430	541856	70944
common	white	chrXIX	10400001	10450000	0.0156011109085043	1605	8898	570344	71656
common	white	chrXIX	10450001	10500000	0.018828082563824	1668	11092	589120	78080
common	white	chrXIX	10500001	10550000	0.0106881007573412	1498	5662	529748	69452
common	white	chrXIX	10550001	10600000	0.0173130755811594	1654	10242	591576	70024
common	white	chrXIX	10600001	10650000	0.0130898924002372	1464	6798	519332	66268
common	white	chrXIX	10650001	10700000	0.0236895032969271	1337	11166	471348	63452
common	white	chrXIX	10700001	10750000	0.0259691802544681	1225	11136	428816	61184
common	white	chrXIX	10750001	10800000	0.0281233405009184	1292	12922	459476	57324
common	white	chrXIX	10800001	10850000	0.0267519829103783	1148	10820	404456	54744
common	white	chrXIX	10850001	10900000	0.0227974803693157	1300	10568	463560	56440
common	white	chrXIX	10900001	10950000	0.0190966891245055	1242	8458	442904	53896
common	white	chrXIX	10950001	11000000	0.0189683804223424	1003	6762	356488	44712
common	white	chrXIX	11000001	11050000	0.0142030957645858	1380	7014	493836	58164
common	white	chrXIX	11050001	11100000	0.0121283393982426	1276	5466	450680	59720
common	white	chrXIX	11100001	11150000	0.0120169292853372	1264	5372	447036	58564
common	white	chrXIX	11150001	11200000	0.0288713064623093	1219	12538	434272	53328
common	white	chrXIX	11200001	11250000	0.0206636877083947	993	7288	352696	44504
common	white	chrXIX	11250001	11300000	0.0148648284412819	1257	6618	445212	57588
common	white	chrXIX	11300001	11350000	0.0209094238402074	1148	8450	404124	55076
common	white	chrXIX	11350001	11400000	0.018764880448642	1000	6652	354492	45508
common	white	chrXIX	11400001	11450000	0.0224020442930153	1187	9468	422640	52160
common	white	chrXIX	11450001	11500000	0.0143442382755265	1900	9790	682504	77496
common	white	chrXIX	11500001	11550000	0.0125546686240327	1474	6568	523152	66448
common	white	chrXIX	11550001	11600000	0.0129842110424634	1728	7944	611820	79380
common	white	chrXIX	11600001	11650000	0.0185297647966619	1579	10374	559856	71744
common	white	chrXIX	11650001	11700000	0.0150498506583652	1613	8586	570504	74696
common	white	chrXIX	11700001	11750000	0.0143761912178046	1517	7754	539364	67436
common	white	chrXIX	11750001	11800000	0.0156567948083374	1628	9110	581856	69344
common	white	chrXIX	11800001	11850000	0.0318057722308892	1733	19572	615360	77840
common	white	chrXIX	11850001	11900000	0.0169557400097334	1672	10034	591776	77024
common	white	chrXIX	11900001	11950000	0.0123206045309956	1493	6600	535688	61512
common	white	chrXIX	11950001	12000000	0.0102403894052176	1582	5756	562088	70712
common	white	chrXIX	12000001	12050000	0.0136453408342809	1322	6384	467852	60948
common	white	chrXIX	12050001	12100000	0.017433591959926	1433	8826	506264	66936
common	white	chrXIX	12100001	12150000	0.0188060573192607	1365	9016	479420	66580
common	white	chrXIX	12150001	12200000	0.0138766806654295	1381	6820	491472	60928
common	white	chrXIX	12200001	12250000	0.0185581563058605	1478	9676	521388	69812
common	white	chrXIX	12250001	12300000	0.0206095699542087	1604	11774	571288	70312
common	white	chrXIX	12300001	12350000	0.0167770046871284	1465	8748	521428	64572
common	white	chrXIX	12350001	12400000	0.0162976	1756	10186	625000	77400
common	white	chrXIX	12400001	12450000	0.0106556008385951	1818	6892	646796	80404
common	white	chrXIX	12450001	12500000	0.0217017463797958	2017	15598	718744	88056
common	white	chrXIX	12500001	12550000	0.0152112499215267	1811	9692	637160	87240
common	white	chrXIX	12550001	12600000	0.0212930043881635	1452	11044	518668	62132
common	white	chrXIX	12600001	12650000	0.0178286073427251	1683	10666	598252	74948
common	white	chrXIX	12650001	12700000	0.0184261723204901	2013	13184	715504	89696
common	white	chrXIX	12700001	12750000	0.0115226892772267	1506	6148	533556	68844
common	white	chrXIX	12750001	12800000	0.0197163669397574	1351	9376	475544	64856
common	white	chrXIX	12800001	12850000	0.0212115444098122	1434	10698	504348	69252
common	white	chrXIX	12850001	12900000	0.0124180374201571	1603	7030	566112	75088
common	white	chrXIX	12900001	12950000	0.0213235294117647	1743	13166	617440	79760
common	white	chrXIX	12950001	13000000	0.0232333310130938	1464	12016	517188	68412
common	white	chrXIX	13000001	13050000	0.0163366868354158	1568	9126	558620	68580
common	white	chrXIX	13050001	13100000	0.016209604826463	1645	9436	582124	75876
common	white	chrXIX	13100001	13150000	0.0176193064121043	1434	8948	507852	65748
common	white	chrXIX	13150001	13200000	0.0075525481524895	1683	4536	600592	72608
common	white	chrXIX	13200001	13250000	0.0167349828366777	1897	11252	672364	86436
common	white	chrXIX	13250001	13300000	0.0066166510367823	2040	4826	729372	86628
common	white	chrXIX	13300001	13350000	0.0132878477026575	1438	6684	503016	72184
common	white	chrXIX	13350001	13400000	0.0213690963690963	1648	12524	586080	73120
common	white	chrXIX	13400001	13450000	0.0134778719440781	1219	5846	433748	53852
common	white	chrXIX	13450001	13500000	0.014617714597164	1278	6544	447676	63524
common	white	chrXIX	13500001	13550000	0.0160802935462982	1515	8642	537428	68572
common	white	chrXIX	13550001	13600000	0.0248553263961337	1277	11150	448596	62204
common	white	chrXIX	13600001	13650000	0.0169202545915402	1599	9666	571268	68332
common	white	chrXIX	13650001	13700000	0.0098048097512765	1385	4762	485680	68320
common	white	chrXIX	13700001	13750000	0.0141070641566454	1444	7170	508256	69344
common	white	chrXIX	13750001	13800000	0.0134962330719336	1463	7008	519256	65944
common	white	chrXIX	13800001	13850000	0.0131867231811945	1644	7728	586044	71556
common	white	chrXIX	13850001	13900000	0.0102677079734727	1997	7252	706292	92508
common	white	chrXIX	13900001	13950000	0.0120241918133501	1409	6036	501988	61612
common	white	chrXIX	13950001	14000000	0.0040845824411134	1047	1526	373600	45200
common	white	chrXIX	14000001	14050000	0.0086889573251209	1544	4740	545520	72080
common	white	chrXIX	14050001	14100000	0.0086263669607112	1299	3982	461608	57992
common	white	chrXIX	14100001	14150000	0.0083058807037218	1300	3792	456544	63456
common	white	chrXIX	14150001	14200000	0.0099162395097262	1387	4906	494744	60056
common	white	chrXIX	14200001	14250000	0.0045499181669394	1725	2780	611000	79000
common	white	chrXIX	14250001	14300000	0.030248294284243	1409	15038	497152	66448
common	white	chrXIX	14300001	14350000	0.0381380510440835	1627	22092	579264	71536
common	white	chrXIX	14350001	14400000	0.0235198367751082	1503	12542	533252	67948
common	white	chrXIX	14400001	14450000	0.021561894618937	1211	9394	435676	48724
common	white	chrXIX	14450001	14500000	0.0324721722436962	1299	15088	464644	54956
common	white	chrXIX	14500001	14550000	0.0095370053803105	1263	4240	444584	60616
common	white	chrXIX	14550001	14600000	0.0222872555335946	1034	8164	366308	47292
common	white	chrXIX	14600001	14650000	0.0155407861670012	1429	7866	506152	65448
common	white	chrXIX	14650001	14700000	0.0109858305206346	1376	5390	490632	59768
common	white	chrXIX	14700001	14750000	0.0180895173819678	1140	7312	404212	51788
common	white	chrXIX	14750001	14800000	0.0188412152545372	1465	9796	519924	66076
common	white	chrXIX	14800001	14850000	0.0419389271135344	797	11630	277308	41492
common	white	chrXIX	14850001	14900000	0.0265255942180165	1065	9968	375788	50212
common	white	chrXIX	14900001	14950000	0.0212599817308542	1531	11544	542992	69408
common	white	chrXIX	14950001	15000000	0.0204685150233651	1123	8112	396316	52884
common	white	chrXIX	15000001	15050000	0.0206423791566089	1312	9612	465644	59156
common	white	chrXIX	15050001	15100000	0.0110576538732675	1555	6086	550388	71612
common	white	chrXIX	15100001	15150000	0.0077219051666565	1489	4070	527072	68528
common	white	chrXIX	15150001	15200000	0.0130076505233873	1270	5910	454348	53652
common	white	chrXIX	15200001	15250000	0.0109411098034087	1287	5020	458820	55980
common	white	chrXIX	15250001	15300000	0.0045303754365966	1539	2480	547416	68184
common	white	chrXIX	15300001	15350000	0.0091741282375742	1399	4582	499448	60152
common	white	chrXIX	15350001	15400000	0.0212489931222504	1452	10974	516448	64352
common	white	chrXIX	15400001	15450000	0.0068424413830854	1343	3300	482284	54916
common	white	chrXIX	15450001	15500000	0.0034377076524592	1654	2028	589928	71672
common	white	chrXIX	15500001	15550000	0.0211627322762117	1477	11120	525452	65348
common	white	chrXIX	15550001	15600000	0.0146317731924173	1658	8722	596100	67100
common	white	chrXIX	15600001	15650000	0.0101269001014782	1084	3872	382348	51252
common	white	chrXIX	15650001	15700000	0.0187649915169952	777	5132	273488	37312
common	white	chrXIX	15700001	15750000	0.0154375485943074	1551	8498	550476	69924
common	white	chrXIX	15750001	15800000	0.012363777893098	1742	7624	616640	80160
common	white	chrXIX	15800001	15850000	0.0160900259333964	1094	6254	388688	48912
common	white	chrXIX	15850001	15900000	0.0095930955904501	1728	5860	610856	80344
common	white	chrXIX	15900001	15950000	0.0130406355225734	1716	7978	611780	74620
common	white	chrXIX	15950001	16000000	0.0121679690884202	1311	5618	461704	62696
common	white	chrXIX	16000001	16050000	0.0141623750378673	1348	6732	475344	63856
common	white	chrXIX	16050001	16100000	0.0145102364375818	1619	8420	580280	67320
common	white	chrXIX	16100001	16150000	0.0178740035600959	1471	9238	516840	71560
common	white	chrXIX	16150001	16200000	0.0226140742899705	1722	13966	617580	71220
common	white	chrXIX	16200001	16250000	0.0202181355710871	1968	14244	704516	82684
common	white	chrXIX	16250001	16300000	0.0168287815976849	1547	9142	543236	75564
common	white	chrXIX	16300001	16350000	0.0055085585288096	1874	3670	666236	83364
common	white	chrXIX	16350001	16400000	0.0150509443253778	1640	8680	576708	79292
common	white	chrXIX	16400001	16450000	0.0106729457330223	1543	5820	545304	71896
common	white	chrXIX	16450001	16500000	0.023584865235463	1318	11008	466740	60460
common	white	chrXIX	16500001	16550000	0.0226884631403581	1096	8716	384160	54240
common	white	chrXIX	16550001	16600000	0.0217196305197784	1653	12688	584172	77028
common	white	chrXIX	16600001	16650000	0.0270144931907641	1510	14330	530456	73544
common	white	chrXIX	16650001	16700000	0.0247963327280064	1800	15730	634368	85632
common	white	chrXIX	16700001	16750000	0.0170155344918378	2040	12408	729216	86784
common	white	chrXIX	16750001	16800000	0.0203041538364858	1798	12924	636520	82680
common	white	chrXIX	16800001	16850000	0.0137270200419369	2304	11260	820280	101320
common	white	chrXIX	16850001	16900000	0.0150052854438279	1886	10050	669764	84636
common	white	chrXIX	16900001	16950000	0.0179871586126386	1830	11710	651020	80980
common	white	chrXIX	16950001	17000000	0.0218005121807078	1896	14608	670076	88324
common	white	chrXIX	17000001	17050000	0.0195737672248565	1930	13358	682444	89556
common	white	chrXIX	17050001	17100000	0.0300810044853723	1524	16176	537748	71852
common	white	chrXIX	17100001	17150000	0.0362639781026917	1637	21092	581624	73176
common	white	chrXIX	17150001	17200000	0.0230622613225528	1650	13600	589708	70292
common	white	chrXIX	17200001	17250000	0.0235739090313023	934	7766	329432	44168
common	white	chrXIX	17250001	17300000	0.0445652834315572	187	2934	65836	8964
common	white	chrXIX	17300001	17350000	0.0240690929124671	1738	14854	617140	78060
common	white	chrXIX	17350001	17400000	0.0258304286604649	1478	13428	519852	71348
common	white	chrXIX	17400001	17450000	0.0208121362855773	2106	15464	743028	99372
common	white	chrXIX	17450001	17500000	0.0180149143394411	1586	10040	557316	77084
common	white	chrXIX	17500001	17550000	0.0333777371188898	2116	24956	747684	98716
common	white	chrXIX	17550001	17600000	0.0312271684376482	1743	19490	624136	73064
common	white	chrXIX	17600001	17650000	0.0196162999360756	1477	10188	519364	71436
common	white	chrXIX	17650001	17700000	0.0198373102668983	1719	12008	605324	82276
common	white	chrXIX	17700001	17750000	0.0205627920851148	1706	12408	603420	78980
common	white	chrXIX	17750001	17800000	0.0377086789256344	1602	21368	566660	74140
common	white	chrXIX	17800001	17850000	0.0221010332950631	1812	14322	648024	76776
common	white	chrXIX	17850001	17900000	0.0244395904612787	1755	15172	620796	81204
common	white	chrXIX	17900001	17950000	0.0284217026805012	1929	19514	686588	85012
