pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
common	chrI	1800001	1850000	0.0394334630350194	907	25336	642500	64960
white	chrI	1850001	1900000	0.0845578866898836	533	33847	400282	15458
common	chrI	1850001	1900000	0.0833128178803957	533	31811	381826	33914
common	chrI	1900001	1950000	0.0453372055501774	384	12364	272712	26808
white	chrI	1900001	1950000	0.0471565774762324	384	13581	287998	11522
common	chrI	1950001	2000000	0.0510982287430626	452	16536	323612	28948
white	chrI	1950001	2000000	0.0505788716332001	452	16942	334962	17598
common	chrI	2000001	2050000	0.0343373701034589	849	20979	610967	51253
white	chrI	2000001	2050000	0.032458011407625	849	20543	632910	29310
common	chrI	2050001	2100000	0.0643777733384184	469	21269	330378	35442
white	chrI	2050001	2100000	0.064038051183843	469	22538	351947	13873
white	chrI	2100001	2150000	0.0771917546761674	416	24266	314360	10120
common	chrI	2100001	2150000	0.0743544657151849	416	21735	292316	32164
common	chrI	2150001	2200000	0.0524518186657621	594	22268	424542	38778
white	chrI	2150001	2200000	0.0520816293603967	594	23242	446261	17059
common	chrI	2200001	2250000	0.0543862818010829	702	27701	509338	38222
white	chrI	2200001	2250000	0.0520824174773982	702	27249	523190	24370
common	chrI	2250001	2300000	0.0695493778293584	545	27147	390327	34773
white	chrI	2250001	2300000	0.0676824550098153	545	27203	401921	23179
white	chrI	2300001	2350000	0.023349647122898	884	15434	660995	28525
common	chrI	2300001	2350000	0.0224276851619656	884	14399	642019	47501
white	chrI	2350001	2400000	0.0482099091300491	883	31689	657313	31427
common	chrI	2350001	2400000	0.048870627519904	883	31115	636681	52059
common	chrI	2400001	2450000	0.0404642527445751	809	23582	582786	48234
white	chrI	2400001	2450000	0.0405440934999479	809	24519	604749	26271
common	chrI	2450001	2500000	0.0476659697020676	862	29750	624135	48225
white	chrI	2450001	2500000	0.0470169776160168	862	30125	640726	31634
common	chrI	2500001	2550000	0.033079075131341	782	18587	561896	48064
white	chrI	2500001	2550000	0.0320802951016556	782	18698	582850	27110
common	chrI	2550001	2600000	0.036344361587593	840	22010	605596	49604
white	chrI	2550001	2600000	0.0391071431394152	840	24740	632621	22579
white	chrI	2600001	2650000	0.0507607178882303	830	31502	620598	26802
common	chrI	2600001	2650000	0.0545365385067528	830	32474	595454	51946
common	chrI	2650001	2700000	0.0406716859251139	1187	34730	853911	71949
white	chrI	2650001	2700000	0.0423746064488112	1187	37470	884256	41604
common	chrI	2700001	2750000	0.0481669998376141	988	34408	714348	56292
white	chrI	2700001	2750000	0.0464642747623428	988	34092	733725	36915
common	chrI	2750001	2800000	0.0588212001821457	781	32681	555599	53581
white	chrI	2750001	2800000	0.0584212886313465	781	33875	579840	29340
white	chrI	2800001	2850000	0.0593148866681949	949	41917	706686	33534
common	chrI	2800001	2850000	0.059007829098635	949	40549	687180	53040
common	chrI	2850001	2900000	0.0593516617278382	1051	45005	758277	61503
white	chrI	2850001	2900000	0.0603889929700374	1051	47126	780374	39406
common	chrI	2900001	2950000	0.0502163568324701	759	27469	547013	45007
white	chrI	2900001	2950000	0.0486320122894457	759	27194	559179	32841
common	chrI	2950001	3000000	0.0518490820898515	1076	40074	772897	66383
white	chrI	2950001	3000000	0.0531142907264331	1076	42994	809462	29818
common	chrI	3000001	3050000	0.0543300599213375	943	36730	676053	59487
white	chrI	3000001	3050000	0.0534306868197482	943	37584	703416	32124
common	chrI	3050001	3100000	0.0463514044730726	807	26884	580004	49456
white	chrI	3050001	3100000	0.0443417160378944	807	26637	600721	28739
common	chrI	3100001	3150000	0.0521780209706964	901	33356	639273	63507
white	chrI	3100001	3150000	0.0498573196070191	901	33930	680542	22238
common	chrI	3150001	3200000	0.0645873552935162	838	38407	594652	58988
white	chrI	3150001	3200000	0.0640627167809808	838	40172	627073	26567
common	chrI	3200001	3250000	0.0648126631153694	619	29006	447536	35284
white	chrI	3200001	3250000	0.0656364567288062	619	30382	462883	19937
white	chrI	3250001	3300000	0.0401632714549344	748	22395	557599	25841
common	chrI	3250001	3300000	0.0392770492535314	748	21110	537464	45976
common	chrI	3300001	3350000	0.0477547612176559	819	27966	585617	53203
white	chrI	3300001	3350000	0.0485044793530333	819	29605	610356	28464
common	chrI	3350001	3400000	0.0449749097218965	29	959	21323	1297
white	chrI	3350001	3400000	0.0429355731781709	29	915	21311	1309
common	chrI	3400001	3450000	0.2351825509720246	3	496	2109	231
white	chrI	3400001	3450000	0.2010431484115694	3	424	2109	231
white	chrI	3450001	3500000	0.0137576549718766	458	4684	340465	16775
common	chrI	3450001	3500000	0.0228121401421353	458	7508	329123	28117
common	chrI	3500001	3550000	0.0534703521734238	930	35642	666575	58825
white	chrI	3500001	3550000	0.0504661280298321	930	34916	691870	33530
common	chrI	3550001	3600000	0.0383360640287665	1159	31728	827628	76392
white	chrI	3550001	3600000	0.037746241426295	1159	32689	866020	38000
common	chrI	3600001	3650000	0.0398362830807092	1116	31856	799673	70807
white	chrI	3600001	3650000	0.0409098588410371	1116	34143	834591	35889
white	chrI	3650001	3700000	0.0484064232204364	982	35429	731907	34053
common	chrI	3650001	3700000	0.0452005098539072	982	31809	703731	62229
white	chrI	3700001	3750000	0.0460304617728776	1312	44831	973942	49418
common	chrI	3700001	3750000	0.0478943975879582	1312	45622	952554	70806
common	chrI	3750001	3800000	0.041945166850746	1342	40370	962447	84313
white	chrI	3750001	3800000	0.0422318645628111	1342	42572	1008054	38706
common	chrI	3800001	3850000	0.0534173137485876	859	33330	623955	46065
white	chrI	3800001	3850000	0.0496950311240729	859	31694	637770	32250
common	chrI	3850001	3900000	0.0373756778445152	981	26129	699091	66089
white	chrI	3850001	3900000	0.0373364036773021	981	27304	731297	33883
common	chrI	3900001	3950000	0.0413708800803676	714	21085	509658	47262
white	chrI	3900001	3950000	0.0417729543705	714	22140	530008	26912
white	chrI	3950001	4000000	0.0472488137299377	808	28538	603994	26246
common	chrI	3950001	4000000	0.0483834831314315	808	27858	575775	54465
common	chrI	4000001	4050000	0.0395131850300824	1013	28759	727833	62307
white	chrI	4000001	4050000	0.0428998596448404	1013	32338	753802	36338
common	chrI	4050001	4100000	0.0223039091538407	1167	18494	829182	81078
white	chrI	4050001	4100000	0.0210496592705726	1167	18413	874741	35519
common	chrI	4100001	4150000	0.0174996067632167	1216	15353	877334	71146
white	chrI	4100001	4150000	0.0180104280857173	1216	16183	898535	49945
white	chrI	4150001	4200000	0.0328060648449457	1052	25657	782081	38479
common	chrI	4150001	4200000	0.0335788633677981	1052	25205	750621	69939
common	chrI	4200001	4250000	0.0312960904070996	1069	23617	754631	79189
white	chrI	4200001	4250000	0.0323291166364762	1069	25950	802682	31138
common	chrI	4250001	4300000	0.0344567215074954	1254	31122	903220	74900
white	chrI	4250001	4300000	0.039546781027111	1254	36711	928293	49827
common	chrI	4300001	4350000	0.0414719978113493	864	25467	614077	59843
white	chrI	4300001	4350000	0.0392115064083254	864	25384	647361	26559
common	chrI	4350001	4400000	0.0400841791008252	1144	32761	817305	75015
white	chrI	4350001	4400000	0.0381588663864031	1144	32813	859905	32415
common	chrI	4400001	4450000	0.0440203872316512	1060	33606	763419	63381
white	chrI	4400001	4450000	0.0453712665492414	1060	35908	791426	35374
common	chrI	4450001	4500000	0.0596003187514876	944	40313	676389	59931
white	chrI	4450001	4500000	0.0575822130388193	944	40464	702717	33603
common	chrI	4500001	4550000	0.0292750154824354	1034	21603	737933	68587
white	chrI	4500001	4550000	0.0300403649773556	1034	23428	779884	26636
common	chrI	4550001	4600000	0.0342685929708492	1100	27152	792329	65671
white	chrI	4550001	4600000	0.0330465081381006	1100	27087	819663	38337
white	chrI	4600001	4650000	0.0188236857163131	886	12468	662357	28723
common	chrI	4600001	4650000	0.0211089523429496	886	13331	631533	59547
common	chrI	4650001	4700000	0.0348237261464876	1075	26822	770222	68278
white	chrI	4650001	4700000	0.0368499540568088	1075	29356	796636	41864
common	chrI	4700001	4750000	0.0292084399986467	614	12950	443365	35555
white	chrI	4700001	4750000	0.0305663809352249	614	13914	455206	23714
common	chrI	4750001	4800000	0.043642898644043	1110	34703	795158	70642
white	chrI	4750001	4800000	0.0440203116792155	1110	36453	828095	37705
white	chrI	4800001	4850000	0.0278162912765926	1009	20885	750819	36201
common	chrI	4800001	4850000	0.026790163099443	1009	19356	722504	64516
common	chrI	4850001	4900000	0.0298770427289634	1180	25623	857615	62785
white	chrI	4850001	4900000	0.0305958992490862	1180	26912	879595	40805
common	chrI	4900001	4950000	0.0460320142982912	1261	41672	905283	78297
white	chrI	4900001	4950000	0.0473222878742579	1261	44794	946573	37007
common	chrI	4950001	5000000	0.038183948238377	1007	27802	728107	57353
white	chrI	4950001	5000000	0.0397482113170948	1007	29672	746499	38961
white	chrI	5000001	5050000	0.0439557236810368	1331	43737	995024	43156
common	chrI	5000001	5050000	0.0459963449091736	1331	44246	961946	76234
white	chrI	5050001	5100000	0.0340204010635042	961	24350	715747	33833
common	chrI	5050001	5100000	0.0325418554292801	961	22512	691786	57794
common	chrI	5100001	5150000	0.0267501741964936	875	16700	624295	58205
white	chrI	5100001	5150000	0.0287331577152363	875	18619	647997	34503
common	chrI	5150001	5200000	0.0324524503858164	867	20120	619984	56276
white	chrI	5150001	5200000	0.0347131111525659	867	22516	648631	27629
common	chrI	5200001	5250000	0.0351210372527714	884	22044	627658	61862
white	chrI	5200001	5250000	0.0336834047394282	884	22265	661008	28512
common	chrI	5250001	5300000	0.0222518914107699	894	14450	649383	47937
white	chrI	5250001	5300000	0.0249298185964922	894	16571	664706	32614
common	chrI	5300001	5350000	0.0176541345223344	928	11712	663414	60426
white	chrI	5300001	5350000	0.0207040954140963	928	14318	691554	32286
common	chrI	5350001	5400000	0.0228424331986416	997	16292	713234	64426
white	chrI	5350001	5400000	0.0236195985768217	997	17393	736380	41280
common	chrI	5400001	5450000	0.0139288462676848	947	9412	675720	62940
white	chrI	5400001	5450000	0.0151288999872306	947	10663	704810	33850
common	chrI	5450001	5500000	0.0159374842223955	1233	14205	891295	70445
white	chrI	5450001	5500000	0.020042405000714	1233	18244	910270	51470
common	chrI	5500001	5550000	0.0270663339008198	857	16582	612643	55817
white	chrI	5500001	5550000	0.0289841139759188	857	18391	634520	33940
white	chrI	5550001	5600000	0.0201031620569788	970	14510	721777	34823
common	chrI	5550001	5600000	0.0222374716895721	970	15425	693649	62951
common	chrI	5600001	5650000	0.0186860255383141	620	8350	446858	36742
white	chrI	5600001	5650000	0.0170519629282515	620	7860	460944	22656
common	chrI	5650001	5700000	0.0119107799012893	1025	8765	735888	63612
white	chrI	5650001	5700000	0.0090628145445395	1025	6915	763008	36492
common	chrI	5700001	5750000	0.0352320952645452	858	21693	615717	53523
white	chrI	5700001	5750000	0.0367946379546473	858	23320	633788	35452
white	chrI	5750001	5800000	0.0463173753183579	886	30498	658457	32623
common	chrI	5750001	5800000	0.038417150423612	886	24400	635133	55947
common	chrI	5800001	5850000	0.0382781608711613	598	16370	427659	38781
white	chrI	5800001	5850000	0.043574376992765	598	19297	442852	23588
common	chrI	5850001	5900000	0.0281704101288548	747	15063	534710	47950
white	chrI	5850001	5900000	0.0278505003131976	747	15606	560349	22311
common	chrI	5900001	5950000	0.0298180194089529	726	15489	519451	46829
white	chrI	5900001	5950000	0.0301330156621413	726	16467	546477	19803
white	chrI	5950001	6000000	0.0347496456301299	1035	26795	771087	36213
common	chrI	5950001	6000000	0.0347599473923956	1035	25716	739817	67483
white	chrI	6000001	6050000	0.021207355366054	991	15588	735028	37952
common	chrI	6000001	6050000	0.0225673752870405	991	16019	709830	63150
common	chrI	6050001	6100000	0.0414157892010123	1100	32776	791389	66611
white	chrI	6050001	6100000	0.0388349395356603	1100	31629	814447	43553
common	chrI	6100001	6150000	0.0279792679579516	873	17431	622997	57943
white	chrI	6100001	6150000	0.0321954383846723	873	20746	644377	36563
common	chrI	6150001	6200000	0.0367084973373466	755	19818	539875	49025
white	chrI	6150001	6200000	0.0355856787530693	755	20130	565677	23223
common	chrI	6200001	6250000	0.0113857138178364	1069	8691	763325	70495
white	chrI	6200001	6250000	0.0094143081025886	1069	7551	802077	31743
white	chrI	6250001	6300000	0.0319464499225758	821	19558	612212	28168
common	chrI	6250001	6300000	0.0333408598729383	821	19491	584598	55782
common	chrI	6300001	6350000	0.0194779233730588	929	13008	667833	56787
white	chrI	6300001	6350000	0.0223558930416042	929	15539	695074	29546
common	chrI	6350001	6400000	0.0246014528897736	936	16523	671627	58453
white	chrI	6350001	6400000	0.0260775627083823	936	18177	697036	33044
common	chrI	6400001	6450000	0.031012117531676	963	21091	680089	71051
white	chrI	6400001	6450000	0.0361445950392112	963	26036	720329	30811
white	chrI	6450001	6500000	0.0192265325849937	894	12829	667255	30065
common	chrI	6450001	6500000	0.0192862693300086	894	12236	634441	62879
common	chrI	6500001	6550000	0.0336328612379117	1016	24557	730149	62331
white	chrI	6500001	6550000	0.0348235287895395	1016	26337	756299	36181
common	chrI	6550001	6600000	0.0264591401793917	858	16301	616082	53158
white	chrI	6550001	6600000	0.0271284919006894	858	17285	637153	32087
common	chrI	6600001	6650000	0.0351200568041849	966	24236	690090	63390
white	chrI	6600001	6650000	0.0395894978903129	966	28458	718827	34653
common	chrI	6650001	6700000	0.0334848911466134	844	20098	600211	58109
white	chrI	6650001	6700000	0.0305154211718176	844	19135	627060	31260
white	chrI	6700001	6750000	0.0407856324669712	1412	43226	1059834	41526
common	chrI	6700001	6750000	0.0430076154390557	1412	43632	1014518	86842
common	chrI	6750001	6800000	0.0337918809192639	851	20359	602482	61298
white	chrI	6750001	6800000	0.0340261862969777	851	21692	637509	26271
common	chrI	6800001	6850000	0.0299769624533345	904	19167	639391	65729
white	chrI	6800001	6850000	0.0303869598617811	904	20648	679502	25618
common	chrI	6850001	6900000	0.0257501225520349	738	13605	528347	47293
white	chrI	6850001	6900000	0.0253089967070756	738	13873	548145	27495
white	chrI	6900001	6950000	0.0515716909446241	1120	42934	832511	41089
common	chrI	6900001	6950000	0.0511916091631278	1120	41203	804878	68722
common	chrI	6950001	7000000	0.0205277336274535	923	13419	653701	66239
white	chrI	6950001	7000000	0.0211468306599297	923	14573	689134	30806
common	chrI	7000001	7050000	0.0343692937300997	769	18728	544905	54915
white	chrI	7000001	7050000	0.0319233685416892	769	18273	572402	27418
common	chrI	7050001	7100000	0.0363380918348024	1145	29744	818535	74565
white	chrI	7050001	7100000	0.035503444521615	1145	30262	852368	40732
common	chrI	7100001	7150000	0.027958591699057	1011	20299	726038	62542
white	chrI	7100001	7150000	0.0287151436893385	1011	21482	748107	40473
common	chrI	7150001	7200000	0.0277490122416264	920	18141	653753	63847
white	chrI	7150001	7200000	0.024669408359735	920	16928	686194	31406
common	chrI	7200001	7250000	0.0294367097868558	1036	21727	738092	69988
white	chrI	7200001	7250000	0.0259120297260839	1036	20035	773193	34887
common	chrI	7250001	7300000	0.0201847205197956	988	14343	710587	60053
white	chrI	7250001	7300000	0.0131581987948286	988	9680	735663	34977
common	chrI	7300001	7350000	0.0197487484063559	901	12702	643180	59600
white	chrI	7300001	7350000	0.0178671024909871	901	11949	668771	34009
white	chrI	7350001	7400000	0.0191759958731271	1031	14832	773467	30713
common	chrI	7350001	7400000	0.0214203656910655	1031	15793	737289	66891
white	chrI	7400001	7450000	0.0255130338325013	931	17802	697761	28419
common	chrI	7400001	7450000	0.024861795140135	931	16487	663146	63034
common	chrI	7450001	7500000	0.0281267189153109	1105	22039	783561	78339
white	chrI	7450001	7500000	0.0252135899435868	1105	20850	826935	34965
common	chrI	7500001	7550000	0.017050410413196	1089	13234	776169	73251
white	chrI	7500001	7550000	0.0181528753089949	1089	14665	807861	41559
common	chrI	7550001	7600000	0.0075892128809503	1204	6559	864253	74867
white	chrI	7550001	7600000	0.0089750769620986	1204	7997	891023	48097
common	chrI	7600001	7650000	0.0083565812351125	1100	6599	789677	68323
white	chrI	7600001	7650000	0.0098281082196185	1100	8099	824065	33935
white	chrI	7650001	7700000	0.0145902702800787	1187	12865	881752	44108
common	chrI	7650001	7700000	0.011772011932006	1187	9933	843781	82079
common	chrI	7700001	7750000	0.0249341120355348	1054	18704	750137	71983
white	chrI	7700001	7750000	0.0285313525284051	1054	22497	788501	33619
common	chrI	7750001	7800000	0.0136443693441407	1164	11450	839174	68746
white	chrI	7750001	7800000	0.014580775175462	1164	12575	862437	45483
common	chrI	7800001	7850000	0.0075699187974772	1097	6011	794064	61596
white	chrI	7800001	7850000	0.0092626871509273	1097	7531	813047	42613
white	chrI	7850001	7900000	0.0126129647624264	974	9164	726554	33166
common	chrI	7850001	7900000	0.0118509520917437	974	8293	699775	59945
white	chrI	7900001	7950000	0.0340303380498067	971	24765	727733	29647
common	chrI	7900001	7950000	0.0345447669170099	971	23840	690119	67261
common	chrI	7950001	8000000	0.0361536025884249	1052	27175	751654	68906
white	chrI	7950001	8000000	0.035199337042617	1052	27779	789191	31369
common	chrI	8000001	8050000	0.0204844247320827	1165	17010	830387	78313
white	chrI	8000001	8050000	0.0169612511628335	1165	14732	868568	40132
common	chrI	8050001	8100000	0.0201554298753083	1218	17737	880011	70029
white	chrI	8050001	8100000	0.0195647871424132	1218	17695	904431	45609
common	chrI	8100001	8150000	0.0151363884543483	1315	14388	950557	75143
white	chrI	8100001	8150000	0.0149154786129844	1315	14557	975966	49734
white	chrI	8150001	8200000	0.0167830827354948	1037	12958	772087	36773
common	chrI	8150001	8200000	0.0167703901343656	1037	12420	740591	68269
common	chrI	8200001	8250000	0.0218564733702818	1012	15731	719741	69619
white	chrI	8200001	8250000	0.0212555807349643	1012	16011	753261	36099
common	chrI	8250001	8300000	0.0224036395870954	1045	17009	759207	55893
white	chrI	8250001	8300000	0.0213118162109256	1045	16505	774453	40647
common	chrI	8300001	8350000	0.0214423159509433	928	14230	663641	60199
white	chrI	8300001	8350000	0.020637207905467	928	14293	692584	31256
white	chrI	8350001	8400000	0.0154076298398851	1237	14059	912470	52390
common	chrI	8350001	8400000	0.0175432907814423	1237	15690	894359	70501
common	chrI	8400001	8450000	0.0209994536341249	1413	21216	1010312	91828
white	chrI	8400001	8450000	0.0230135227425344	1413	24161	1049861	52279
common	chrI	8450001	8500000	0.0184593324580194	1129	14959	810376	70244
white	chrI	8450001	8500000	0.0178899261286426	1129	15153	847013	33607
common	chrI	8500001	8550000	0.0281635719980084	915	18441	654782	58918
white	chrI	8500001	8550000	0.0303753032884208	915	20594	677985	35715
common	chrI	8550001	8600000	0.0216071567263766	989	15301	708145	63275
white	chrI	8550001	8600000	0.022677671980752	989	16636	733585	37835
common	chrI	8600001	8650000	0.0351166570365668	988	24675	702658	67982
white	chrI	8600001	8650000	0.0284033432676506	988	20862	734491	36149
common	chrI	8650001	8700000	0.0300487417643589	998	21349	710479	67961
white	chrI	8650001	8700000	0.0319428624451828	998	23753	743609	34831
common	chrI	8700001	8750000	0.0165851437608767	940	11074	667706	65494
white	chrI	8700001	8750000	0.0177288792612016	940	12440	701680	31520
common	chrI	8750001	8800000	0.0175522843667342	1080	13524	770498	71902
white	chrI	8750001	8800000	0.0167334175937169	1080	13491	806231	36169
white	chrI	8800001	8850000	0.0146527641856906	1051	11529	786814	32966
common	chrI	8800001	8850000	0.0137541372032638	1051	10414	757154	62626
common	chrI	8850001	8900000	0.0134683105303344	1273	12365	918081	74859
white	chrI	8850001	8900000	0.0123366349783234	1273	11704	948719	44221
common	chrI	8900001	8950000	0.0078893792115125	1302	7355	932266	83294
white	chrI	8900001	8950000	0.0045904757966129	1302	4440	967220	48340
common	chrI	8950001	9000000	0.0064217619189518	1209	5560	865806	77214
white	chrI	8950001	9000000	0.0042178156891191	1209	3797	900229	42791
white	chrI	9000001	9050000	0.0036837799530074	1130	3098	840984	40416
common	chrI	9000001	9050000	0.0140132726186001	1130	11371	811445	69955
common	chrI	9050001	9100000	0.0133577332368262	925	8803	659019	62481
white	chrI	9050001	9100000	0.014603392044576	925	10106	692031	29469
common	chrI	9100001	9150000	0.0179632457878422	1143	14714	819117	72423
white	chrI	9100001	9150000	0.014810645165811	1143	12682	856276	35264
common	chrI	9150001	9200000	0.0189397425065042	670	9056	478148	44452
white	chrI	9150001	9200000	0.0167831690796443	670	8365	498416	24184
white	chrI	9200001	9250000	0.0157623909105878	655	7658	485840	25060
common	chrI	9200001	9250000	0.0153177284824687	655	7131	465539	45361
white	chrI	9250001	9300000	0.0305218881066791	889	20078	657823	35597
common	chrI	9250001	9300000	0.0315501335505503	889	19986	633468	59952
common	chrI	9300001	9350000	0.0214387917210738	936	14399	671633	58447
white	chrI	9300001	9350000	0.0234191867931712	936	16175	690673	39407
common	chrI	9350001	9400000	0.0257546986918513	1095	20060	778887	75213
white	chrI	9350001	9400000	0.0279528466609118	1095	22797	815552	38548
common	chrI	9400001	9450000	0.0184071811572702	975	12966	704399	56101
white	chrI	9400001	9450000	0.0206246983382748	975	14956	725150	35350
common	chrI	9450001	9500000	0.0143465081030663	728	7383	514620	53220
white	chrI	9450001	9500000	0.0147020887689971	728	7979	542712	25128
white	chrI	9500001	9550000	0.0087600874827966	1022	6677	762207	34953
common	chrI	9500001	9550000	0.0085248699386165	1022	6194	726580	70580
common	chrI	9550001	9600000	0.0149152372513028	1058	11311	758352	66888
white	chrI	9550001	9600000	0.0148663291835439	1058	11785	792731	32509
common	chrI	9600001	9650000	0.0112026062798552	831	6726	600396	47784
white	chrI	9600001	9650000	0.0104688815491224	831	6466	617640	30540
common	chrI	9650001	9700000	0.0121391139043575	654	5696	469227	40893
white	chrI	9650001	9700000	0.0114260208856554	654	5555	486171	23949
white	chrI	9700001	9750000	0.0135339358620218	1314	13263	979981	44939
common	chrI	9700001	9750000	0.0151402464376357	1314	14311	945229	79691
common	chrI	9750001	9800000	0.0175887904716859	1040	13090	744224	66976
white	chrI	9750001	9800000	0.0181698714501034	1040	14020	771607	39593
common	chrI	9800001	9850000	0.009329840507398	921	6165	660783	57597
white	chrI	9800001	9850000	0.0093360694333831	921	6424	688084	30296
common	chrI	9850001	9900000	0.0192160844500759	498	6870	357513	30927
white	chrI	9850001	9900000	0.0165325007523322	498	6153	372176	16264
common	chrI	9900001	9950000	0.0159899830857093	1040	11902	744341	66859
white	chrI	9900001	9950000	0.0177101829691963	1040	13764	777180	34020
common	chrI	9950001	10000000	0.0174263957980892	1062	13175	756037	72323
white	chrI	9950001	10000000	0.0167092489791594	1062	13250	792974	35386
common	chrI	10000001	10050000	0.0228572649126387	1181	19262	842708	78472
white	chrI	10000001	10050000	0.0215588328845211	1181	19046	883443	37737
common	chrI	10050001	10100000	0.0254940057166298	1061	19328	758139	69441
white	chrI	10050001	10100000	0.025680938748545	1061	20408	794675	32905
common	chrI	10100001	10150000	0.0147177064485014	997	10452	710165	67495
white	chrI	10100001	10150000	0.0145559000791956	997	10844	744990	32670
white	chrI	10150001	10200000	0.0174229356200396	1287	16807	964648	39212
